num_circuits,num_qubits_per_circuit,algorithm,scheduler_latency
2,2,FFD,0.0002071857452392578
2,2,MILQ,0.28937339782714844
2,2,MTMC,0.0006635189056396484
2,2,NoTaDS,0.09599423408508301
2,3,FFD,0.00024080276489257812
2,3,MILQ,1.0499489307403564
2,3,MTMC,0.0007410049438476562
2,3,NoTaDS,0.057459115982055664
2,4,FFD,0.0003330707550048828
2,4,MILQ,0.35109448432922363
2,4,MTMC,0.0007393360137939453
2,4,NoTaDS,0.10195064544677734
2,5,FFD,0.0005130767822265625
2,5,MILQ,0.45740747451782227
2,5,MTMC,0.0008132457733154297
2,5,NoTaDS,0.06083536148071289
2,6,FFD,0.0002560615539550781
2,6,MILQ,17.484645128250122
2,6,MTMC,0.0012025833129882812
2,6,NoTaDS,0.0762186050415039
2,7,FFD,0.0003592967987060547
2,7,MILQ,20.673518419265747
2,7,MTMC,0.0011439323425292969
2,7,NoTaDS,0.06067013740539551
2,8,FFD,0.00034809112548828125
2,8,MILQ,32.24406337738037
2,8,MTMC,0.0016925334930419922
2,8,NoTaDS,0.0603334903717041
2,9,FFD,0.0002627372741699219
2,9,MILQ,17.192012786865234
2,9,MTMC,0.001703500747680664
2,9,NoTaDS,0.07722187042236328
2,10,FFD,0.0002751350402832031
2,10,MILQ,10.294488668441772
2,10,MTMC,0.0016591548919677734
2,10,NoTaDS,0.09355854988098145
3,2,FFD,0.00022125244140625
3,2,MTMC,0.0007855892181396484
3,2,NoTaDS,0.07819628715515137
3,3,FFD,0.00027179718017578125
3,3,MTMC,0.0012917518615722656
3,3,NoTaDS,0.07714104652404785
3,4,FFD,0.00029540061950683594
3,4,MTMC,0.0015041828155517578
3,5,FFD,0.0002846717834472656
3,5,MTMC,0.0016303062438964844
3,6,FFD,0.00034046173095703125
3,6,MTMC,0.0022351741790771484
3,7,FFD,0.000461578369140625
3,7,MTMC,0.0024061203002929688
3,8,FFD,0.0006613731384277344
3,8,MTMC,0.002974987030029297
3,9,FFD,0.00038623809814453125
3,9,MTMC,0.0031604766845703125
3,10,FFD,0.0003781318664550781
3,10,MTMC,0.0031325817108154297
5,2,MTMC,0.0023419857025146484
5,2,NoTaDS,0.25563979148864746
