num_circuit,dataset,average_utilization
2,FFD,0.6
2,MILQ,0.6
2,MTMC,0.6
2,NoTODS,0.843656980864635
3,FFD,0.6
3,MILQ,0.6
3,MTMC,0.6
3,NoTODS,0.634090909090909
4,FFD,0.6
4,MILQ,0.6
4,MTMC,0.6
4,NoTODS,0.8445548066690316
5,FFD,0.6
5,MILQ,0.6
5,MTMC,0.6
5,NoTODS,0.7045454545454546
6,FFD,0.6
6,MILQ,0.6
6,MTMC,0.6
6,NoTODS,0.8448545067423705
7,FFD,0.6
7,MILQ,0.6
7,MTMC,0.6
7,NoTODS,0.7397727272727272
8,FFD,0.6
8,MILQ,0.6
8,MTMC,0.6
8,NoTODS,0.8450044365572316
9,FFD,0.6
9,MILQ,0.6
9,MTMC,0.6
9,NoTODS,0.7609090909090909
10,FFD,0.6
10,MILQ,0.6007820792755141
10,MTMC,0.6
10,NoTODS,0.8450944199914809
11,FFD,0.6
11,MILQ,0.5995424414736731
11,MTMC,0.6
11,NoTODS,0.775
12,FFD,0.6
12,MILQ,0.599574742403911
12,MTMC,0.6
12,NoTODS,0.8451544195953142
13,FFD,0.6
13,MILQ,0.6002092750347429
13,MTMC,0.6
13,NoTODS,0.785064935064935
14,FFD,0.6
14,MILQ,0.5999999922135022
14,MTMC,0.6
14,NoTODS,0.8451972816715692
15,FFD,0.6
15,MILQ,0.5954068408166556
15,MTMC,0.6
15,NoTODS,0.7926136363636364
16,FFD,0.6
16,MILQ,0.6
16,MTMC,0.6
16,NoTODS,0.8452294310819205
17,FFD,0.6
17,MILQ,0.6
17,MTMC,0.6
17,NoTODS,0.7984848484848485
18,FFD,0.6
18,MILQ,0.6
18,MTMC,0.6
18,NoTODS,0.8452544378698225
19,FFD,0.6
19,MILQ,0.6
19,MTMC,0.6
19,NoTODS,0.8031818181818181
20,FFD,0.6
20,MTMC,0.6
20,NoTODS,0.8452744443655471
