num_circuit,dataset,average_fidelity
2,FFD,0.7724556747661735
2,MILQ,0.7956442600151428
2,MTMC,0.7793859242980121
2,NoTODS,0.8854626539161933
3,FFD,0.7864908485619769
3,MILQ,0.7636977123288304
3,MTMC,0.7729326799682655
3,NoTODS,0.8758194531458035
4,FFD,0.7961536938261722
4,MILQ,0.8039050020812339
4,MTMC,0.7841537187233736
4,NoTODS,0.8766363033401049
5,FFD,0.7825408838603
5,MILQ,0.8011401234727922
5,MTMC,0.7746996440388564
5,NoTODS,0.867734458739873
6,FFD,0.7802839159349502
6,MILQ,0.7963448156926121
6,MTMC,0.7950370777006114
6,NoTODS,0.8668406659421978
7,FFD,0.7771473144673587
7,MILQ,0.7898367973344254
7,MTMC,0.7801696564251194
7,NoTODS,0.8638954387554298
8,FFD,0.7816996289322036
8,MILQ,0.7889125325997586
8,MTMC,0.7889655530124736
8,NoTODS,0.8661097676310187
9,FFD,0.7862645882963265
9,MILQ,0.7882296005674838
9,MTMC,0.787150835798889
9,NoTODS,0.861943612782234
10,FFD,0.7941241950427133
10,MILQ,0.7831559708841695
10,MTMC,0.7866241668051884
10,NoTODS,0.8630282647917074
11,FFD,0.7860473535628316
11,MILQ,0.7935304802693349
11,MTMC,0.788110818546029
11,NoTODS,0.8632197706729041
12,FFD,0.7847657144436174
12,MILQ,0.8031325342761707
12,MTMC,0.789948054064138
12,NoTODS,0.8606943085270147
13,FFD,0.7862200789596117
13,MILQ,0.785596393199403
13,MTMC,0.7894927547755413
13,NoTODS,0.8588391418885609
14,FFD,0.7791111765930362
14,MILQ,0.7891565506422858
14,MTMC,0.7841392281327193
14,NoTODS,0.8641109823876034
15,FFD,0.7943665090466808
15,MILQ,0.7838747365198326
15,MTMC,0.7831054475297234
15,NoTODS,0.8604897239273728
16,FFD,0.786268811481454
16,MILQ,0.7755697806940084
16,MTMC,0.784239939994966
16,NoTODS,0.860118674882905
17,FFD,0.7840323761846723
17,MILQ,0.7870534628325551
17,MTMC,0.7844371792361334
17,NoTODS,0.8603790176494626
18,FFD,0.785143781719544
18,MILQ,0.7854946013376608
18,MTMC,0.7939938527260608
18,NoTODS,0.8609208160556524
19,FFD,0.791380549413073
19,MILQ,0.7886600049886747
19,MTMC,0.7867421806306185
19,NoTODS,0.8605867048472794
20,FFD,0.7921614556656073
20,MTMC,0.7913646793329708
20,NoTODS,0.8601362491474116
