num_qubits_each_circuit,dataset,scheduler_latency
2,FFD,0.006613016128540039
2,MILQ,27.633683919906616
2,MTMC,0.009221553802490234
2,NoTODS,0.9686367511749268
3,FFD,0.007643699645996094
3,MILQ,1.5358459949493408
3,MTMC,0.013854265213012695
3,NoTODS,0.9939191341400146
4,FFD,0.008385181427001953
4,MILQ,0.8367259502410889
4,MTMC,0.011347770690917969
4,NoTODS,0.95859694480896
5,FFD,0.008581399917602539
5,MILQ,0.8069357872009277
5,MTMC,0.017293691635131836
5,NoTODS,0.9625256061553955
6,FFD,0.01437067985534668
6,MILQ,10.139854907989502
6,MTMC,0.024616718292236328
6,NoTODS,0.9717466831207275
7,FFD,0.01751422882080078
7,MILQ,8.201061725616455
7,MTMC,0.027756690979003906
7,NoTODS,1.103844404220581
8,FFD,0.02101731300354004
8,MILQ,17.19071054458618
8,MTMC,0.036086082458496094
8,NoTODS,0.9629409313201904
9,FFD,0.019710779190063477
9,MILQ,6.727953195571899
9,MTMC,0.04157900810241699
9,NoTODS,0.9747977256774902
10,FFD,0.020363330841064453
10,MILQ,6.896659851074219
10,MTMC,0.04524517059326172
10,NoTODS,1.013761043548584
