algorithm_name,original_depth,transpiled_depth
ae,21.0,1704547.0
bmw_quark_cardinality,59.0,636.0
bmw_quark_copula,39.0,722.0
bv,11.0,93.0
cdkm_ripple_carry_adder,18.0,481.0
dj,5.0,144.0
draper_qft_adder,20.0,541.0
full_adder,2.0,439.0
ghz,19.0,98.0
graphstate,6.0,74.0
grover,286.0,5505921.0
half_adder,,
hhl,52.0,1261.0
hrs_cumulative_multiplier,,
modular_adder,2.0,633.0
multiplier,,
qaoa,42.0,540.0
qft,2.0,554.0
qftentangled,20.0,533.0
qnn,24.0,163.0
qpeexact,51.0,636.0
qpeinexact,53.0,654.0
qwalk,112.0,307872.0
randomcircuit,37.0,3002.0
rg_qft_multiplier,,
shor,18617.0,78050.0
vbe_ripple_carry_adder,,
vqe_real_amp,26.0,210.0
vqe_su2,30.0,234.0
vqe_two_local,74.0,906.0
wstate,37.0,220.0
